parcel_id,robust_rank_v3,power_lmp_zone,power_mean_spread,power_median_spread,power_p10_spread,power_p90_spread,power_positive_fraction,power_mean_lmp,power_mean_waha_cost_mwh,power_tail_event_freq_yr,power_tail_event_mean_spread,power_tail_event_ann_value,power_uri_max_spread,power_economics_score
804168,1,HB_SOUTH,37.85039297658863,37.19,11.873000000000003,63.88,0.9487858211531822,64.02928242605594,26.175309652865874,48.5,4704.804587628866,228183.0225,8936.28,0.8799974677961819
324445,2,HB_SOUTH,37.85039297658863,37.19,11.873000000000003,63.88,0.9487858211531822,64.02928242605594,26.175309652865874,48.5,4704.804587628866,228183.0225,8936.28,0.8799974677961819
214268,3,HB_SOUTH,37.85039297658863,37.19,11.873000000000003,63.88,0.9487858211531822,64.02928242605594,26.175309652865874,48.5,4704.804587628866,228183.0225,8936.28,0.8799974677961819
190649,4,HB_SOUTH,37.85039297658863,37.19,11.873000000000003,63.88,0.9487858211531822,64.02928242605594,26.175309652865874,48.5,4704.804587628866,228183.0225,8936.28,0.8799974677961819
838573,5,HB_SOUTH,37.85039297658863,37.19,11.873000000000003,63.88,0.9487858211531822,64.02928242605594,26.175309652865874,48.5,4704.804587628866,228183.0225,8936.28,0.8799974677961819
522658,6,HB_SOUTH,37.85039297658863,37.19,11.873000000000003,63.88,0.9487858211531822,64.02928242605594,26.175309652865874,48.5,4704.804587628866,228183.0225,8936.28,0.8799974677961819
883689,7,HB_SOUTH,37.85039297658863,37.19,11.873000000000003,63.88,0.9487858211531822,64.02928242605594,26.175309652865874,48.5,4704.804587628866,228183.0225,8936.28,0.8799974677961819
513121,8,HB_SOUTH,37.85039297658863,37.19,11.873000000000003,63.88,0.9487858211531822,64.02928242605594,26.175309652865874,48.5,4704.804587628866,228183.0225,8936.28,0.8799974677961819
464416,9,HB_SOUTH,37.85039297658863,37.19,11.873000000000003,63.88,0.9487858211531822,64.02928242605594,26.175309652865874,48.5,4704.804587628866,228183.0225,8936.28,0.8799974677961819
201906,10,HB_SOUTH,37.85039297658863,37.19,11.873000000000003,63.88,0.9487858211531822,64.02928242605594,26.175309652865874,48.5,4704.804587628866,228183.0225,8936.28,0.8799974677961819
855742,11,HB_SOUTH,37.85039297658863,37.19,11.873000000000003,63.88,0.9487858211531822,64.02928242605594,26.175309652865874,48.5,4704.804587628866,228183.0225,8936.28,0.8799974677961819
820454,12,HB_SOUTH,37.85039297658863,37.19,11.873000000000003,63.88,0.9487858211531822,64.02928242605594,26.175309652865874,48.5,4704.804587628866,228183.0225,8936.28,0.8799974677961819
857666,13,HB_SOUTH,37.85039297658863,37.19,11.873000000000003,63.88,0.9487858211531822,64.02928242605594,26.175309652865874,48.5,4704.804587628866,228183.0225,8936.28,0.8799974677961819
548458,14,HB_SOUTH,37.85039297658863,37.19,11.873000000000003,63.88,0.9487858211531822,64.02928242605594,26.175309652865874,48.5,4704.804587628866,228183.0225,8936.28,0.8799974677961819
868345,15,HB_SOUTH,37.85039297658863,37.19,11.873000000000003,63.88,0.9487858211531822,64.02928242605594,26.175309652865874,48.5,4704.804587628866,228183.0225,8936.28,0.8799974677961819
301097,16,HB_SOUTH,37.85039297658863,37.19,11.873000000000003,63.88,0.9487858211531822,64.02928242605594,26.175309652865874,48.5,4704.804587628866,228183.0225,8936.28,0.8799974677961819
300913,17,HB_SOUTH,37.85039297658863,37.19,11.873000000000003,63.88,0.9487858211531822,64.02928242605594,26.175309652865874,48.5,4704.804587628866,228183.0225,8936.28,0.8799974677961819
783861,18,HB_SOUTH,37.85039297658863,37.19,11.873000000000003,63.88,0.9487858211531822,64.02928242605594,26.175309652865874,48.5,4704.804587628866,228183.0225,8936.28,0.8799974677961819
873219,19,HB_SOUTH,37.85039297658863,37.19,11.873000000000003,63.88,0.9487858211531822,64.02928242605594,26.175309652865874,48.5,4704.804587628866,228183.0225,8936.28,0.8799974677961819
721564,20,HB_SOUTH,37.85039297658863,37.19,11.873000000000003,63.88,0.9487858211531822,64.02928242605594,26.175309652865874,48.5,4704.804587628866,228183.0225,8936.28,0.8799974677961819
