parcel_id,parcel_area_acres,intersects_waterbody,centroid_lat,centroid_lon,dist_to_waterbody_km,dist_to_flowline_km,acreage_score,water_score,flowline_score,water_intersection_penalty,baseline_score_v2,baseline_score_v3,mc_mean_score_v2,mc_score_std_v2,p_top20_v2,avg_rank_v2,robust_rank_v2,confidence_score_v2,location_cluster,cluster_size,cluster_avg_area,cluster_avg_water_dist,cluster_avg_flow_dist,flood_proxy_score,flood_proxy_penalty,baseline_score_v4
354620,2849.0442215311537,0,30.584617803510824,-98.02822539790118,1.7087198869187878,0.26685332946038914,1.0,0.3723939930261807,0.8104935623060312,0.0,0.7340798897726303,0.7738169103690604,0.7287563,0.097993575,0.613,146.986,126,0.6362365570545195,3,24,329.55081911416755,0.9684008899182638,0.21852919280247585,0.7067424436103839,1.0,0.5666165972045054
963956,1565.3322868167163,0,30.522514795153995,-97.9839813346169,1.4259139531911549,0.10353247713094965,0.5413740025041596,0.476989847184365,0.9267116620429195,0.0,0.5985872384158648,0.5991262878159732,0.65099174,0.07518619,0.517,152.535,136,0.6291179360866547,19,31,178.5466266700204,0.7979132253943898,0.18943461804540881,0.5270814847112261,0.0,0.416320435101889
353730,1258.2616261930746,0,30.55699593333544,-97.97964886626666,1.1475851987363899,0.07273412260176385,0.431668246701903,0.5799298153288,0.9486275790085315,0.0,0.5695049810343449,0.5795385837512977,0.6560792,0.08310389,0.562,111.331,80,0.6385930976390838,15,18,225.4565548610583,0.772077764605709,0.14757701312758775,0.4165271189105886,0.0,0.4035041437682426
934035,1362.7618494228852,0,30.55129716746088,-98.02753900217667,1.4675497217778215,0.007079181404923588,0.46900257212279367,0.46159084645813175,0.9953472256146035,0.0,0.5764114469972479,0.572047985121757,0.64528114,0.09493984,0.529,148.914,131,0.5925956343650818,3,24,329.55081911416755,0.9684008899182638,0.21852919280247585,0.49208296825962056,0.0,0.39278798617998256
123209,1041.2385549560581,0,30.3208224629147,-97.88795810024091,1.0415891128611716,0.00134879833120132,0.35413338873719263,0.6191324975123365,0.9994249304642517,0.0,0.5479065348184495,0.5626914297151476,0.6606035,0.10141914,0.62,84.381,53,0.6328544737100601,0,37,143.0036311857783,0.6295176989040835,0.1111100923762655,0.3440024171243714,0.0,0.3910941736323663
804168,118.40349128994094,0,30.34547859255447,-97.9871545452002,0.015536944186885147,0.012436574643384697,0.024436250187055596,0.9986181807819945,0.9915349380050503,0.0,0.46268953635580246,0.5101105669291361,0.67396575,0.17409287,0.934,6.249,1,0.6604,0,37,143.0036311857783,0.6295176989040835,0.1111100923762655,0.0,0.0,0.35959185429687035
522658,155.16008797194488,0,30.37664770637482,-97.86320224968665,0.011800785833994425,0.10274606159635755,0.03756811440204891,1.0,0.9272712704317461,0.0,0.46603746281006597,0.5042383112873736,0.6569442,0.16620937,0.771,17.656,7,0.5800491479992866,17,43,142.60029252622428,0.9251580560625887,0.18334609015880884,0.044780813494139156,0.0,0.3529728352876351
355294,1373.6937974397097,0,30.32767255197421,-98.09234499374894,1.358184663892614,0.4213561167106118,0.47290818009309277,0.5020395438874419,0.7005503426732194,0.0,0.5758844539594967,0.5271760217474228,0.5598082,0.038553484,0.289,305.063,289,0.5734000119209289,7,49,161.42095770019188,0.6288671692467992,0.17831205847799955,0.6660773928082276,0.0,0.34772118596382473
564023,666.3712236616725,0,30.332899611078957,-98.05247019461584,0.7115541305618502,0.16839665653372587,0.22020622089346928,0.7411960285729148,0.8805547165968026,0.0,0.510519519297671,0.5085728623379696,0.61617875,0.108607545,0.34,115.584,86,0.4489438333511353,7,49,161.42095770019188,0.6288671692467992,0.17831205847799955,0.3167208668054867,0.0,0.3449559521651381
214268,75.15199549021422,0,30.310360681460516,-97.52550529908017,0.03675551952384044,0.054085461013756816,0.008983982534227854,0.9907704847236576,0.9618978502658888,0.0,0.45723069683856865,0.494102706737389,0.6562039,0.17347033,0.809,14.81,5,0.5867779223663733,12,27,76.13976841363825,0.31610449582872646,0.24697454597726673,0.028470007863040957,0.0,0.34421201852786865
310698,453.2991827556027,0,30.241578866213896,-97.95116733642736,0.5210291843010907,0.10523779585265998,0.1440829297901902,0.8116617335527079,0.9254981678781747,0.0,0.4906503346295593,0.5006396185365425,0.62948847,0.13156188,0.404,55.257,27,0.43653720667362217,8,43,156.41260951392832,0.7723255468739141,0.15177111826001533,0.2195856790208763,0.0,0.34175909370925645
