parcel_id,parcel_area_acres,centroid_lat,centroid_lon,dist_to_waterbody_km,dist_to_flowline_km,flood_proxy_score,baseline_score_v4,mc_mean_score_v3,mc_score_std_v3,p_top20_v3,avg_rank_v3,robust_rank_v3,confidence_score_v3
100838,62.5955252294654,30.253379091557186,-97.75105152358321,0.4663726718769152,0.3057539301112205,0.3032146473820517,0.25648102931238353,0.50763017,0.14337005,0.0,370.234,373,0.25658461153507234
101541,54.4399449538662,30.249588370635017,-97.90368961482763,0.48795811239600523,0.34220240582596434,0.32915768571704973,0.24744746717825777,0.4928021,0.14105949,0.0,414.961,426,0.2610304027795792
102984,86.27827638923988,30.268239548014467,-97.84384266932047,0.5194708158029964,0.2453372755030114,0.29049942615903707,0.262828549926286,0.51944774,0.1438834,0.0,329.313,325,0.25559684336185456
102991,89.7996859667351,30.264067870201472,-97.89454400275349,0.43541995632143904,0.15337706471396936,0.21496086843377182,0.28629449297434834,0.559469,0.1523409,0.0,187.339,182,0.23932356834411622
103009,129.7943039058229,30.270069216132907,-97.9158374583846,0.9810725248893237,0.23355961740878192,0.44179734462444786,0.21822515035839685,0.45543623,0.13079919,0.0,502.168,527,0.2807724893093109
103010,328.7438319449396,30.2673529868117,-97.92508579392994,1.1505513170183517,0.2549784375301684,0.5104747972393509,0.22757103084595742,0.4464856,0.11435513,0.0,498.734,523,0.31241288483142854
103011,74.1219098356745,30.26391633175006,-97.91066943049881,0.49495493042493216,0.08859662254124154,0.20221383477405735,0.2861971591297814,0.56680715,0.15642089,0.0,164.378,152,0.23147317469120027
103088,66.90160120721484,30.27061490363267,-97.95906295036387,1.735719451935559,0.13135273852605361,0.6468437527220133,0.1356607503506379,0.3585132,0.1413686,0.0,580.493,598,0.26043563783168794
103089,257.1342019622129,30.274299478259387,-97.95302623399957,1.028031368354063,0.17634909997611195,0.42862497491588086,0.24148623742020997,0.47972676,0.12738201,0.0,433.019,449,0.28734755218029023
103092,210.17862868008785,30.261164182661446,-97.92970204883044,0.48018755937317104,0.24296736167044808,0.27590397373204245,0.2876230874736826,0.54116035,0.13738413,0.0,238.851,231,0.268102240562439
103093,265.9732670279758,30.26511351592676,-97.94995125857041,0.8810546945397387,0.24064850943250987,0.411328434374499,0.2506478458474868,0.48546082,0.123647116,0.0,421.725,437,0.29453393518924714
103114,291.39995464610473,30.261173255376292,-97.9616898819171,1.6571930335043454,0.12779631871614314,0.618269999121708,0.18132906736834142,0.39879906,0.12972556,0.0,540.978,560,0.2828382819890976
103125,140.56385702807876,30.287020682048034,-98.02533001296568,0.20412974391564764,0.15307738477819652,0.13598926877283968,0.32120010984934105,0.6020212,0.15638253,0.131,53.698,33,0.3035969801425934
109630,51.864881176140734,30.292837050732853,-97.92384449353362,0.9508646898195872,0.17166764170818163,0.39994086969183584,0.218065500648185,0.46859866,0.14145455,0.0,476.011,498,0.2602702647447586
109722,116.04075778886175,30.288476704019477,-97.9485637820434,0.4051284119262844,0.1138117064887003,0.18446149724494987,0.29968800757913927,0.57872874,0.1543056,0.0,111.455,93,0.23554323315620423
109727,197.22739828716368,30.28447463642901,-97.96068312537358,1.395110872367673,0.17422435711209958,0.5526343184448659,0.18978249071978456,0.4154152,0.12850326,0.0,541.172,561,0.2851901322603226
109729,200.61789895538527,30.28396609418956,-97.95443210618149,0.80604310634796,0.023369036330363427,0.27496274713888175,0.2799806519382169,0.55175036,0.14784291,0.0,205.824,197,0.2479782521724701
109857,152.61243212411517,30.295931450216088,-97.9873788988245,1.2287522695648563,0.05055293569989713,0.4328756603124625,0.21956223796427624,0.47170833,0.14425671,0.0,444.872,462,0.25487854778766633
109858,304.0145442738848,30.29278018609064,-97.97646241570091,1.8515444535993217,0.28227867131679535,0.7632802839120104,0.13875154766185888,0.3254285,0.113865905,0.0,599.747,611,0.2133541911840439
110010,58.62750279191587,30.286732769166512,-98.04303445766007,0.3292969015444261,0.22487924333275108,0.21525947813364366,0.28327355196777815,0.55191416,0.15304746,0.0,214.649,210,0.23796407580375672
117768,134.78187172247283,30.296100311052513,-97.88346936172007,0.7333379386084564,0.09905415295284418,0.2887825819723243,0.26692863315059945,0.53358364,0.146463,0.0,275.829,264,0.25063337087631227
118728,60.27034030813725,30.311418058246865,-97.82126647878516,0.9935299020965136,0.05393397612612075,0.3544410776252004,0.23138648863375227,0.49666688,0.15108623,0.0,394.599,404,0.24173772037029267
118738,62.91390923895434,30.31563274663473,-97.82182542391249,0.5978205910850621,0.009223486112506996,0.19679131917338452,0.28391021543447487,0.5720513,0.16115087,0.0,145.639,134,0.2223720967769623
118739,149.54211880796544,30.312327411048805,-97.81553983134405,0.950030468776739,0.01359302928473936,0.31904522197903,0.2565495001934825,0.52578306,0.15007044,0.0,298.459,288,0.2436922162771225
119006,53.690275472424524,30.297612182767097,-97.9302723072488,1.0878723951655174,0.058212495281073875,0.3887728525285675,0.2188232722946916,0.47981134,0.15011442,0.0,438.543,457,0.24360760748386384
119054,59.74697375894075,30.313053942472823,-97.93939295989738,0.4551157308244245,0.20221027262948113,0.24657563818660236,0.2721814470154783,0.5387605,0.15036277,0.0,260.576,251,0.24312972724437715
119344,166.12288193721997,30.299387720097773,-97.99454484735281,0.7508544444361513,0.008719801918918106,0.24868513760823144,0.28290836574602063,0.5604978,0.15209827,0.001,177.335,169,0.24034043662548066
123152,94.08273665467392,30.32323339731741,-97.8206203373796,0.6460902056818181,0.0005406553058057246,0.2088126989260082,0.2845947411549106,0.5706861,0.15902957,0.006,147.902,136,0.22975374834537507
123209,1041.2385549560581,30.3208224629147,-97.88795810024091,1.0415891128611716,0.00134879833120132,0.3440024171243714,0.3910941736323663,0.62179494,0.10062611,0.52,96.202,76,0.6248292014598846
123212,68.82746568181079,30.336227169718335,-97.8863976612644,0.6815020360332853,0.42499742740409163,0.43733528775438807,0.21553554605547362,0.44033435,0.1287833,0.0,529.589,548,0.28465130627155305
123245,67.47594747201688,30.336455030869967,-97.93862581093782,0.31833395369547746,0.11963974342187589,0.15785584768248434,0.30106390802596333,0.58488697,0.15951353,0.0,95.116,73,0.22552254498004914
123246,83.6210703215923,30.34078979593354,-97.93679644437762,0.386910383454796,0.15171301125192238,0.19758124289710216,0.29114014103641417,0.5668358,0.1542715,0.0,160.571,145,0.23560887277126313
123282,76.01229121837822,30.325694201958395,-97.96825282418814,0.5746234564723046,0.05437295785846692,0.21191054999210715,0.2822149443672014,0.5643193,0.1571008,0.0,172.946,162,0.2301649421453476
124640,80.16161930703106,30.33108553105733,-97.75147969716292,1.626247701715707,0.3194806563315035,0.7054753900109585,0.12343360263673846,0.3233582,0.119765036,0.0,608.853,621,0.2020035445690155
124789,65.8946080192478,30.33060831368476,-97.77354854786937,0.3566451137747327,0.11959990982138317,0.1708911611731176,0.29639256391787716,0.5786827,0.15847638,0.0,117.272,98,0.2275181531906128
126381,147.45377779971545,30.33630834351978,-97.77098090454892,0.5535715655444442,0.16534434850798033,0.2613272273422629,0.2802061663015155,0.5443636,0.14456777,0.0,235.401,229,0.25428002774715425
130468,85.14365239274989,30.3518250185306,-97.82219101060959,0.9618236768651127,0.17794407577337776,0.4068761747081601,0.2212498650052891,0.46906415,0.1386808,0.0,473.914,495,0.2656072944402695
130469,82.06072437813584,30.354129006010663,-97.82062323822883,0.8667261845902473,0.04263525078562077,0.3054672011102099,0.2511499642310276,0.5224656,0.15243636,0.0,318.094,307,0.23913989663124086
130695,88.66922127889883,30.362045841202505,-97.92426988378001,0.9807145549624318,0.07262690982523795,0.35960648555979285,0.234749137528381,0.49672526,0.14776525,0.0,394.513,403,0.2481276959180832
130707,57.759867107147066,30.357207686321544,-97.91857433578298,0.26298248039826727,0.2350305660560601,0.19783768157926696,0.28933298156590315,0.5593291,0.1548159,0.0,187.212,181,0.23456138074398042
130713,350.60290981810925,30.354546886097076,-97.94085456702133,1.0218029778008877,0.15514167963743683,0.41568758522248656,0.26027551653285524,0.49799523,0.12380769,0.0,371.047,375,0.2942249745130539
130714,364.6320185886346,30.36287562558671,-97.9362359454157,0.7245989935328065,0.018492893233873146,0.24472170244051591,0.3164511674228969,0.58562255,0.13947318,0.187,102.481,82,0.3669326523303985
130716,485.27218193101004,30.344297769847774,-97.94946289020262,1.622615614941228,0.024363630884452307,0.5537404579773526,0.23133248861328254,0.4571496,0.13183631,0.018,426.657,441,0.288676940703392
133125,51.088018937042584,30.350652541240144,-97.99020687833242,0.3191828655473329,0.2436050424498763,0.22136219531096216,0.2805418397126733,0.5472298,0.15277436,0.0,231.235,222,0.23848953545093537
142044,158.63437537041898,30.376880273564918,-97.83483915264934,1.6042848484860859,0.15084038171873226,0.6119915141012102,0.1627855049391424,0.3845944,0.13354538,0.0,563.327,581,0.2754884630441666
142401,168.11553257778363,30.38133182444221,-97.83947691982586,1.1827272704166971,0.23070016405642776,0.5090587844180907,0.2015163561760743,0.42913172,0.1258653,0.0,535.431,551,0.2902658998966217
142461,74.7413271382748,30.372990861720748,-97.9508928473024,0.7727422330625908,0.005512971129551537,0.2545086815452431,0.26615035625131056,0.54701954,0.15764391,0.0,233.621,226,0.22911992371082307
142537,66.13137239769586,30.378802306409476,-98.03521118436473,0.4310746527173964,0.06825863839843581,0.1700732861718771,0.29520573970426134,0.58173096,0.16008396,0.0,104.808,87,0.2244249701499939
142560,57.228108912117484,30.371384045215517,-98.0509847035103,0.39518999322237625,0.1852991333126636,0.2175302584253749,0.28112141156557935,0.5527353,0.15347019,0.0,213.952,209,0.23715068101882936
153074,55.804252892343484,30.387737478564084,-97.77147535800692,0.47710664280740345,0.07865087641367342,0.19105960905990088,0.2867399772795653,0.57027143,0.15877962,0.0,151.701,139,0.2269346833229065
153078,359.03338636861537,30.38510125825003,-97.78212705537617,0.579167786433499,0.41196246861563335,0.39581467887086635,0.2758763262211541,0.49496123,0.11480998,0.0,376.88,384,0.3115376800298691
153080,260.0130807696778,30.404739610345583,-97.80206782311544,0.8743101082699924,0.06899821012966299,0.3214956343280502,0.2751005836732225,0.53504443,0.13910072,0.0,259.142,249,0.2647993236780167
153088,95.75412063565612,30.39539190890141,-97.78613798060972,0.778209406053021,0.03436967834055516,0.27108747711839637,0.2647563918828944,0.5404012,0.15368502,0.0,256.553,246,0.23673732280731202
153097,50.490345219271795,30.390386251433412,-97.78389445521566,0.4666984120699582,0.019672481460231334,0.157436220237214,0.295550814681786,0.5881892,0.16392356,0.0,85.01,65,0.21703710854053498
153108,58.85749371072017,30.391326845703365,-97.79173822678678,1.0744177263545454,0.35453889961224094,0.5353017144313296,0.17868356124578938,0.39754695,0.12341593,0.0,576.347,596,0.2949787795543671
153135,945.675832894637,30.39242323346704,-97.81324041724446,2.2092994525599337,0.37343820343536505,0.9316830674763168,0.18752843512475778,0.31993297,0.09125714,0.014,558.568,576,0.2645562537431717
