date,forecast_spread,lower_80,upper_80
1452,45.69054944956141,14.712900885110024,76.6681980140128
1453,45.608768751915434,14.541074318456477,76.67646318537439
1454,45.772986226642224,14.61296863803847,76.93300381524598
1455,45.48563876828566,14.234744845088372,76.73653269148295
1456,45.90344330818107,14.562427168350712,77.24445944801143
1457,45.5227270927693,14.092070668099115,76.95338351743949
1458,46.180016015936395,14.660055798602958,77.69997623326984
1459,45.68869517357817,14.079714571766104,77.29767577539023
1460,45.60691447593219,13.908914008857693,77.3049149430067
1461,45.77113195065898,13.981868643592282,77.56039525772569
1462,45.48378449230242,13.604678937788368,77.36289004681647
1463,45.901589032197826,13.933378215377008,77.86979984901865
1464,45.52087281678606,13.464025690432791,77.57771994313933
1465,46.178161739953154,14.033003140122531,78.32332033978378
1466,45.68684089759493,13.453643357014144,77.92003843817571
1467,45.60506019994895,13.283809377741626,77.92631102215628
1468,45.76927767467574,13.357763486170903,78.18079186318059
1469,45.48193021631918,12.981548744485863,77.98231168815249
1470,45.899734756214585,13.311207052704908,78.48826245972427
1471,45.51901854080282,12.842801547683216,78.19523553392241
1472,46.17630746396991,13.412715236975238,78.93989969096458
1473,45.684986621611685,12.834281642917233,78.53569160030614
1474,45.60320592396571,12.665359899728273,78.54105194820315
1475,45.7674233986925,12.740257803073433,78.79458899431157
