parcel_id,parcel_area_acres,centroid_lat,centroid_lon,dist_to_waterbody_km,dist_to_flowline_km,baseline_score_v3,mc_mean_score_v2,mc_score_std_v2,p_top20_v2,avg_rank_v2,robust_rank_v2,confidence_score_v2,location_cluster
100838,62.5955252294654,30.253379091557186,-97.75105152358321,0.4663726718769152,0.3057539301112205,0.40837435992243404,0.54153,0.14402127,0.0,382.214,393,0.1665598213672638,9
101541,54.4399449538662,30.249588370635017,-97.90368961482763,0.48795811239600523,0.34220240582596434,0.3993351901881009,0.52912754,0.14160693,0.0,424.801,451,0.17190369814634324,4
102984,86.27827638923988,30.268239548014467,-97.84384266932047,0.5194708158029964,0.2453372755030114,0.4153117888617153,0.552453,0.1446623,0.0,339.215,342,0.1651409924030304,4
102991,89.7996859667351,30.264067870201472,-97.89454400275349,0.43541995632143904,0.15337706471396936,0.4383543606337226,0.58533674,0.15338813,0.0,197.631,184,0.14582743719220162,4
103009,129.7943039058229,30.270069216132907,-97.9158374583846,0.9810725248893237,0.23355961740878192,0.3735443017297788,0.50416076,0.13133764,0.0,491.956,527,0.19463350474834443,8
103010,328.7438319449396,30.2673529868117,-97.92508579392994,1.1505513170183517,0.2549784375301684,0.38723037046525577,0.5018335,0.11447868,0.0,465.076,491,0.2319487988948822,8
103011,74.1219098356745,30.26391633175006,-97.91066943049881,0.49495493042493216,0.08859662254124154,0.43816755993495143,0.59187764,0.15764344,0.0,173.837,156,0.13640882670879365,8
103088,66.90160120721484,30.27061490363267,-97.95906295036387,1.735719451935559,0.13135273852605361,0.29312364701885996,0.42941377,0.14184263,0.0,563.225,592,0.17138198614120484,8
103089,257.1342019622129,30.274299478259387,-97.95302623399957,1.028031368354063,0.17634909997611195,0.3992231854899235,0.5273076,0.12802178,0.0,402.993,425,0.2019727811217308,8
103092,210.17862868008785,30.261164182661446,-97.92970204883044,0.48018755937317104,0.24296736167044808,0.4421404102748831,0.57245755,0.13811126,0.0,233.803,220,0.17964092493057252,8
103093,265.9732670279758,30.26511351592676,-97.94995125857041,0.8810546945397387,0.24064850943250987,0.40795892954272606,0.5307361,0.12412274,0.0,397.105,416,0.21060282588005066,8
103114,291.39995464610473,30.261173255376292,-97.9616898819171,1.6571930335043454,0.12779631871614314,0.34244545686642625,0.46637836,0.13007227,0.0,501.162,529,0.19743426740169526,8
103125,140.56385702807876,30.287020682048034,-98.02533001296568,0.20412974391564764,0.15307738477819652,0.4731279794494991,0.6196084,0.15742229,0.163,65.572,35,0.23469831122756005,8
109630,51.864881176140734,30.292837050732853,-97.92384449353362,0.9508646898195872,0.17166764170818163,0.37178365595545715,0.5135888,0.14230603,0.0,471.012,501,0.17035630941390992,0
109722,116.04075778886175,30.288476704019477,-97.9485637820434,0.4051284119262844,0.1138117064887003,0.452033768858355,0.6016911,0.15544407,0.0,117.89,92,0.14127685725688935,8
109727,197.22739828716368,30.28447463642901,-97.96068312537358,1.395110872367673,0.17422435711209958,0.3480949215442707,0.4759853,0.12892589,0.0,515.952,548,0.19997163712978364,8
109729,200.61789895538527,30.28396609418956,-97.95443210618149,0.80604310634796,0.023369036330363427,0.4355301807666573,0.5846581,0.14916198,0.0,190.904,174,0.15518149957060814,8
109857,152.61243212411517,30.295931450216088,-97.9873788988245,1.2287522695648563,0.05055293569989713,0.376184322472233,0.52087796,0.14537984,0.0,414.85,439,0.16355279684066773,8
109858,304.0145442738848,30.29278018609064,-97.97646241570091,1.8515444535993217,0.28227867131679535,0.30114882184327796,0.40684628,0.11298831,0.0,577.245,605,0.23524752855300904,8
110010,58.62750279191587,30.286732769166512,-98.04303445766007,0.3292969015444261,0.22487924333275108,0.4343847793367749,0.5773152,0.15395118,0.0,232.072,219,0.14458117485046387,7
117768,134.78187172247283,30.296100311052513,-97.88346936172007,0.7333379386084564,0.09905415295284418,0.4210653065326221,0.5674548,0.1475893,0.0,269.184,252,0.15866245180368424,4
118728,60.27034030813725,30.311418058246865,-97.82126647878516,0.9935299020965136,0.05393397612612075,0.3853069324459888,0.53782743,0.15234354,0.0,384.151,397,0.14813950136303902,17
118738,62.91390923895434,30.31563274663473,-97.82182542391249,0.5978205910850621,0.009223486112506996,0.43604826160805,0.5971897,0.1625981,0.002,152.039,135,0.12664227428734304,17
118739,149.54211880796544,30.312327411048805,-97.81553983134405,0.950030468776739,0.01359302928473936,0.4118215526506294,0.56342846,0.15142651,0.0,278.539,261,0.1501692369580269,17
119006,53.690275472424524,30.297612182767097,-97.9302723072488,1.0878723951655174,0.058212495281073875,0.3730548245503509,0.52451336,0.15133022,0.0,424.081,450,0.1503823645412922,0
119054,59.74697375894075,30.313053942472823,-97.93939295989738,0.4551157308244245,0.20221027262948113,0.4238507343254605,0.56758446,0.15129429,0.0,276.198,258,0.15046188458800316,0
119344,166.12288193721997,30.299387720097773,-97.99454484735281,0.7508544444361513,0.008719801918918106,0.43757656426982816,0.59084994,0.15348893,0.013,167.859,147,0.15340431465506554,8
123152,94.08273665467392,30.32323339731741,-97.8206203373796,0.6460902056818181,0.0005406553058057246,0.4374960055865923,0.59708595,0.16048643,0.026,148.736,129,0.14571620230972768,17
123209,1041.2385549560581,30.3208224629147,-97.88795810024091,1.0415891128611716,0.00134879833120132,0.5626914297151476,0.6606035,0.10141914,0.62,84.381,53,0.6328544737100601,0
123212,68.82746568181079,30.336227169718335,-97.8863976612644,0.6815020360332853,0.42499742740409163,0.3686473060836546,0.48722485,0.1289267,0.0,531.345,559,0.19996984899044037,0
123245,67.47594747201688,30.336455030869967,-97.93862581093782,0.31833395369547746,0.11963974342187589,0.45215935051843487,0.60512596,0.1606655,0.0,111.379,81,0.12971986122429371,0
123246,83.6210703215923,30.34078979593354,-97.93679644437762,0.386910383454796,0.15171301125192238,0.44286986726730704,0.5909231,0.15533227,0.0,173.03,154,0.14152431711554528,0
123282,76.01229121837822,30.325694201958395,-97.96825282418814,0.5746234564723046,0.05437295785846692,0.43453628519688625,0.5906568,0.15841366,0.0,179.649,164,0.13470401465892792,0
124640,80.16161930703106,30.33108553105733,-97.75147969716292,1.626247701715707,0.3194806563315035,0.28086463730407196,0.39887193,0.11924477,0.0,602.617,618,0.22139962613582612,17
124789,65.8946080192478,30.33060831368476,-97.77354854786937,0.3566451137747327,0.11959990982138317,0.4476317225643685,0.60027766,0.1596285,0.0,132.63,107,0.1320151336491108,17
126381,147.45377779971545,30.33630834351978,-97.77098090454892,0.5535715655444442,0.16534434850798033,0.4338405791864784,0.574853,0.14552738,0.0,235.337,222,0.16322625279426575,17
130468,85.14365239274989,30.3518250185306,-97.82219101060959,0.9618236768651127,0.17794407577337776,0.3756191249223242,0.51466894,0.13947996,0.0,465.953,494,0.1766114741563797,17
130469,82.06072437813584,30.354129006010663,-97.82062323822883,0.8667261845902473,0.04263525078562077,0.4048769464451009,0.55859315,0.15374967,0.0,310.87,295,0.14502719268202782,17
130695,88.66922127889883,30.362045841202505,-97.92426988378001,0.9807145549624318,0.07262690982523795,0.38914147569540614,0.5382294,0.14894202,0.0,381.79,392,0.15566833913326264,0
130707,57.759867107147066,30.357207686321544,-97.91857433578298,0.26298248039826727,0.2350305660560601,0.4401429897948701,0.5828452,0.15571015,0.0,207.685,195,0.1406879335641861,0
130713,350.60290981810925,30.354546886097076,-97.94085456702133,1.0218029778008877,0.15514167963743683,0.4196290434281251,0.5442373,0.124467365,0.0,334.424,333,0.2098400428891182,0
130714,364.6320185886346,30.36287562558671,-97.9362359454157,0.7245989935328065,0.018492893233873146,0.4745590797303699,0.6151493,0.1407267,0.309,93.409,63,0.359251965367794,0
130716,485.27218193101004,30.344297769847774,-97.94946289020262,1.622615614941228,0.024363630884452307,0.39563433831373107,0.51849765,0.13258466,0.093,368.391,370,0.2476733850121498,0
133125,51.088018937042584,30.350652541240144,-97.99020687833242,0.3191828655473329,0.2436050424498763,0.43149515191843074,0.57313275,0.15364009,0.0,250.364,241,0.14526973515748978,0
142044,158.63437537041898,30.376880273564918,-97.83483915264934,1.6042848484860859,0.15084038171873226,0.32132000558888085,0.45157105,0.13394289,0.0,540.913,574,0.18886711299419404,17
142401,168.11553257778363,30.38133182444221,-97.83947691982586,1.1827272704166971,0.23070016405642776,0.35842206288196643,0.48479375,0.12622517,0.0,519.468,550,0.20594933480024338,17
142461,74.7413271382748,30.372990861720748,-97.9508928473024,0.7727422330625908,0.005512971129551537,0.4192806561578212,0.5781567,0.15909256,0.0,231.39,217,0.13320136666297913,0
142537,66.13137239769586,30.378802306409476,-98.03521118436473,0.4310746527173964,0.06825863839843581,0.446722506358171,0.603636,0.16136533,0.0,117.697,91,0.12817086689174176,7
142560,57.228108912117484,30.371384045215517,-98.0509847035103,0.39518999322237625,0.1852991333126636,0.4324566200832276,0.5786793,0.15445921,0.0,230.086,216,0.14345672205090523,7
153074,55.804252892343484,30.387737478564084,-97.77147535800692,0.47710664280740345,0.07865087641367342,0.4382912508609589,0.59429216,0.16003914,0.0,164.932,143,0.13110622242093087,17
153078,359.03338636861537,30.38510125825003,-97.78212705537617,0.579167786433499,0.41196246861563335,0.43369721341233947,0.5371477,0.11487617,0.008,354.389,359,0.23586897473335267,17
153080,260.0130807696778,30.404739610345583,-97.80206782311544,0.8743101082699924,0.06899821012966299,0.4320716476425114,0.5723288,0.14021663,0.0,235.992,223,0.1749809443950653,17
153088,95.75412063565612,30.39539190890141,-97.78613798060972,0.778209406053021,0.03436967834055516,0.4183207681280122,0.57300097,0.15503119,0.0,251.616,242,0.14219071939587594,17
153097,50.490345219271795,30.390386251433412,-97.78389445521566,0.4666984120699582,0.019672481460231334,0.4468905906061067,0.6091838,0.16534135,0.0,97.555,65,0.11937041431665421,17
153108,58.85749371072017,30.391326845703365,-97.79173822678678,1.0744177263545454,0.35453889961224094,0.3332979187174664,0.45516497,0.12342103,0.0,573.692,601,0.212155981361866,17
153135,945.675832894637,30.39242323346704,-97.81324041724446,2.2092994525599337,0.37343820343536505,0.3631020982296121,0.41703174,0.08800583,0.07,501.626,530,0.33254321944713594,17
153144,102.28512028648305,30.38887023913531,-97.83473848203506,0.9726712004701451,0.1756240361702302,0.3778077497912379,0.5159327,0.13844967,0.0,460.245,487,0.17889190316200257,17
153145,203.27825729685097,30.385267442624087,-97.8257901528832,1.9140437219245927,0.15111732281694837,0.29488612932461516,0.41901287,0.13467371,0.0,560.748,587,0.1872495248913765,17
153179,104.3518689696627,30.39635823646821,-97.84129576070751,0.5926487203261571,0.257818726747795,0.40864451934357693,0.5426509,0.14041981,0.0,378.527,386,0.174531227350235,17
153520,372.57047828029414,30.402123560011148,-98.03896080483045,0.535977005066682,0.18919024382429495,0.4726122833248631,0.59784055,0.12983535,0.089,138.186,112,0.25135863926410673,7
157658,228.54000703418222,30.410225302223523,-97.78489695331437,0.7626501912256135,0.17144925862792404,0.4242580559061664,0.55746883,0.13486026,0.0,299.731,284,0.18683662861585618,17
157665,319.64010059878984,30.406089816965828,-97.81949253051542,0.6518801736120973,0.3991556538727047,0.4204151231104528,0.5267212,0.11546871,0.0,396.417,413,0.22975746393203736,17
157738,123.02627409864091,30.419501361613232,-97.87262968526049,0.526688902219158,0.19916545890929443,0.42764641685798377,0.5670719,0.14533211,0.0,269.435,253,0.1636584460735321,6
