parcel_id,parcel_area_acres,intersects_waterbody,centroid_lat,centroid_lon,dist_to_waterbody_km,dist_to_flowline_km,acreage_score,water_score,flowline_score,water_intersection_penalty,baseline_score_v2,baseline_score_v3
354620,2849.0442215311537,0,30.584617803510824,-98.02822539790118,1.7087198869187878,0.26685332946038914,1.0,0.3723939930261807,0.8104935623060312,0.0,0.7340798897726303,0.7738169103690604
963956,1565.3322868167163,0,30.522514795153995,-97.9839813346169,1.4259139531911549,0.10353247713094965,0.5413740025041596,0.476989847184365,0.9267116620429195,0.0,0.5985872384158648,0.5991262878159732
353730,1258.2616261930746,0,30.55699593333544,-97.97964886626666,1.1475851987363899,0.07273412260176385,0.431668246701903,0.5799298153288,0.9486275790085315,0.0,0.5695049810343449,0.5795385837512977
934035,1362.7618494228852,0,30.55129716746088,-98.02753900217667,1.4675497217778215,0.007079181404923588,0.46900257212279367,0.46159084645813175,0.9953472256146035,0.0,0.5764114469972479,0.572047985121757
123209,1041.2385549560581,0,30.3208224629147,-97.88795810024091,1.0415891128611716,0.00134879833120132,0.35413338873719263,0.6191324975123365,0.9994249304642517,0.0,0.5479065348184495,0.5626914297151476
355294,1373.6937974397097,0,30.32767255197421,-98.09234499374894,1.358184663892614,0.4213561167106118,0.47290818009309277,0.5020395438874419,0.7005503426732194,0.0,0.5758844539594967,0.5271760217474228
804168,118.40349128994094,0,30.34547859255447,-97.9871545452002,0.015536944186885147,0.012436574643384697,0.024436250187055596,0.9986181807819945,0.9915349380050503,0.0,0.46268953635580246,0.5101105669291361
564023,666.3712236616725,0,30.332899611078957,-98.05247019461584,0.7115541305618502,0.16839665653372587,0.22020622089346928,0.7411960285729148,0.8805547165968026,0.0,0.510519519297671,0.5085728623379696
522658,155.16008797194488,0,30.37664770637482,-97.86320224968665,0.011800785833994425,0.10274606159635755,0.03756811440204891,1.0,0.9272712704317461,0.0,0.46603746281006597,0.5042383112873736
893807,738.5479667066174,0,30.318957905641465,-98.06549464097073,0.8255022581183608,0.21093661994476526,0.24599248172024304,0.6990522815362012,0.8502835439939604,0.0,0.5162747450939107,0.5027686341197739
310698,453.2991827556027,0,30.241578866213896,-97.95116733642736,0.5210291843010907,0.10523779585265998,0.1440829297901902,0.8116617335527079,0.9254981678781747,0.0,0.4906503346295593,0.5006396185365425
953449,470.1400126039101,0,30.48545542639339,-97.9510238193192,0.3245965566353018,0.2972632114975846,0.1500995774343954,0.88431239616231,0.7888540799424634,0.0,0.49405385896103937,0.4981143235543834
214268,75.15199549021422,0,30.310360681460516,-97.52550529908017,0.03675551952384044,0.054085461013756816,0.008983982534227854,0.9907704847236576,0.9618978502658888,0.0,0.45723069683856865,0.494102706737389
190649,117.74857667874285,0,30.24276296751073,-97.53353127538907,0.15887931380715917,0.030845949233157106,0.024202271785271755,0.9456029650477648,0.978434941882986,0.0,0.460150083410366,0.4914690137835625
324445,83.52096801693291,0,30.20945691038058,-97.93011215161692,0.16770358723662984,0.0017279430530318396,0.011973927762037442,0.9423393050371167,0.9991551334452677,0.0,0.4564824311890064,0.4885197820812073
513121,90.11913075865472,0,30.172597188253846,-97.7636651475909,0.16853105229713863,0.042890454854901935,0.014331223731039403,0.9420332668516757,0.9698641468150916,0.0,0.4568487336461715,0.4837484212840407
838573,66.03203966481286,0,30.265174634969092,-97.55922089669613,0.1722832740314684,0.011115111563751091,0.0057257368761214405,0.9406455065875254,0.9924752828893502,0.0,0.45440253342540754,0.48355157699218837
201906,67.14485761399764,0,30.28765915262321,-97.48561398607512,0.1506666661281509,0.04703061735925647,0.006123308346927841,0.94864041510252,0.9669180330029531,0.0,0.4545707635719997,0.48103738530481055
883689,55.18172017622196,0,30.121840149504813,-97.70425863564812,0.1906800852179375,0.003036542615977131,0.0018492919634934958,0.9338414407941649,0.9982239421592018,0.0,0.45297854576612706,0.4807218666518366
464416,72.87775926603332,0,30.129135644769576,-97.5887823515389,0.22298743966001233,0.0154017640569948,0.008171476372486702,0.92189255666391,0.9894249277149094,0.0,0.45430277889787263,0.47853849072839827
