parcel_id,parcel_area_acres,intersects_waterbody,centroid_lat,centroid_lon,dist_to_waterbody_km,dist_to_flowline_km,acreage_score,water_score,flowline_score,water_intersection_penalty,baseline_score_v2,baseline_score_v3,mc_mean_score_v2,mc_score_std_v2,p_top20_v2,avg_rank_v2,robust_rank_v2,confidence_score_v2,location_cluster,cluster_size,cluster_avg_area,cluster_avg_water_dist,cluster_avg_flow_dist,flood_proxy_score,flood_proxy_penalty,baseline_score_v4,mc_mean_score_v3,mc_score_std_v3,p_top20_v3,avg_rank_v3,robust_rank_v3,confidence_score_v3
804168,118.40349128994094,0,30.34547859255447,-97.9871545452002,0.015536944186885147,0.012436574643384697,0.024436250187055596,0.9986181807819945,0.9915349380050503,0.0,0.46268953635580246,0.5101105669291361,0.67396575,0.17409287,0.934,6.249,1,0.6604,0,37,143.0036311857783,0.6295176989040835,0.1111100923762655,0.0,0.0,0.35959185429687035,0.66937125,0.17277804,0.993,3.673,1,0.74615
324445,83.52096801693291,0,30.20945691038058,-97.93011215161692,0.16770358723662984,0.0017279430530318396,0.011973927762037442,0.9423393050371167,0.9991551334452677,0.0,0.4564824311890064,0.4885197820812073,0.653878,0.17242879,0.883,10.853,2,0.63348322734721,8,43,156.41260951392832,0.7723255468739141,0.15177111826001533,0.04639420032351883,0.0,0.3379536619166154,0.64432627,0.17103423,0.963,7.25,2,0.7330053093671799
214268,75.15199549021422,0,30.310360681460516,-97.52550529908017,0.03675551952384044,0.054085461013756816,0.008983982534227854,0.9907704847236576,0.9618978502658888,0.0,0.45723069683856865,0.494102706737389,0.6562039,0.17347033,0.809,14.81,5,0.5867779223663733,12,27,76.13976841363825,0.31610449582872646,0.24697454597726673,0.028470007863040957,0.0,0.34421201852786865,0.6489016,0.17221054,0.935,8.095,3,0.7153419272899628
190649,117.74857667874285,0,30.24276296751073,-97.53353127538907,0.15887931380715917,0.030845949233157106,0.024202271785271755,0.9456029650477648,0.978434941882986,0.0,0.460150083410366,0.4914690137835625,0.65196323,0.16843198,0.889,11.557,3,0.6459296898186206,11,27,120.89497197337812,0.4988034877084276,0.2944521095338888,0.058236026925245765,0.0,0.3402966143661441,0.64146525,0.16711932,0.972,8.328,4,0.7454880698680878
838573,66.03203966481286,0,30.265174634969092,-97.55922089669613,0.1722832740314684,0.011115111563751091,0.0057257368761214405,0.9406455065875254,0.9924752828893502,0.0,0.45440253342540754,0.48355157699218837,0.6489846,0.17274207,0.833,14.544,4,0.6027898048378527,11,27,120.89497197337812,0.4988034877084276,0.2944521095338888,0.052741918685425875,0.0,0.33326618795058316,0.63881665,0.17135829,0.922,9.861,5,0.7098317851781846
522658,155.16008797194488,0,30.37664770637482,-97.86320224968665,0.011800785833994425,0.10274606159635755,0.03756811440204891,1.0,0.9272712704317461,0.0,0.46603746281006597,0.5042383112873736,0.6569442,0.16620937,0.771,17.656,7,0.5800491479992866,17,43,142.60029252622428,0.9251580560625887,0.18334609015880884,0.044780813494139156,0.0,0.3529728352876351,0.64846045,0.165087,0.886,10.384,6,0.7020985070943833
883689,55.18172017622196,0,30.121840149504813,-97.70425863564812,0.1906800852179375,0.003036542615977131,0.0018492919634934958,0.9338414407941649,0.9982239421592018,0.0,0.45297854576612706,0.4807218666518366,0.6474113,0.17348924,0.795,16.536,6,0.5783360262382775,13,28,81.83094550831545,0.39058333240386284,0.20901374994780555,0.0548914316045776,0.0,0.3305572676785268,0.6369394,0.17207816,0.901,11.292,7,0.6968966477394104
513121,90.11913075865472,0,30.172597188253846,-97.7636651475909,0.16853105229713863,0.042890454854901935,0.014331223731039403,0.9420332668516757,0.9698641468150916,0.0,0.4568487336461715,0.4837484212840407,0.64461094,0.16907303,0.754,18.13,8,0.5635108189448714,9,23,78.1992584688767,0.559141813655025,0.2484095229056053,0.0676673218928795,0.0,0.3330119762830103,0.6331798,0.16777095,0.888,13.119,8,0.698034256362915
464416,72.87775926603332,0,30.129135644769576,-97.5887823515389,0.22298743966001233,0.0154017640569948,0.008171476372486702,0.92189255666391,0.9894249277149094,0.0,0.45430277889787263,0.47853849072839827,0.6425758,0.17053984,0.714,19.136,9,0.5362642014414072,1,41,118.86194448217043,0.5072201771626955,0.4383937244630412,0.0722068291915754,0.0,0.3278980845174599,0.63043225,0.16915797,0.843,14.253,9,0.6706154732942581
201906,67.14485761399764,0,30.28765915262321,-97.48561398607512,0.1506666661281509,0.04703061735925647,0.006123308346927841,0.94864041510252,0.9669180330029531,0.0,0.4545707635719997,0.48103738530481055,0.6430737,0.17080583,0.67,21.933,10,0.5092754742577672,12,27,76.13976841363825,0.31610449582872646,0.24697454597726673,0.06369082745240374,0.0,0.33078664162381544,0.63204795,0.16950461,0.817,14.659,10,0.6556484824180603
