parcel_id,parcel_area_acres,intersects_waterbody,centroid_lat,centroid_lon,dist_to_waterbody_km,dist_to_flowline_km,baseline_score_v2,mc_mean_score,mc_score_std,p_top20,avg_rank,robust_rank,confidence_score
804168,118.40349128994094,0,30.34547859255447,-97.9871545452002,0.015536944186885147,0.012436574643384697,0.46268953635580246,0.6782888,0.17404655,0.399,41.004,1,0.36211722070872787
214268,75.15199549021422,0,30.310360681460516,-97.52550529908017,0.03675551952384044,0.054085461013756816,0.45723069683856865,0.6736144,0.17562905,0.241,99.965,2,0.2647956033706665
522658,155.16008797194488,0,30.37664770637482,-97.86320224968665,0.011800785833994425,0.10274606159635755,0.46603746281006597,0.679607,0.17197582,0.383,101.023,3,0.35581676620543
858777,7.07842034993592,0,30.457330642704726,-97.58563364243598,0.0,0.00955003789087666,0.4506993288608364,0.6696034,0.1790227,0.244,233.272,4,0.2611880557924509
718163,5.096463642288508,0,30.338292010813927,-97.99503501400731,0.0015835795937498354,0.01036910237550324,0.45044851597006563,0.66939914,0.17909813,0.228,260.442,5,0.2514678751334548
857647,15.908806037802211,0,30.439095206485202,-97.52080821527291,0.051799928440170846,0.018164965538094702,0.4507640410594156,0.66923594,0.17835079,0.0,274.654,6,0.11585870422422886
278089,9.976369992935894,0,30.45860109229545,-97.57081623275013,0.05603701484514332,0.005025056506743876,0.4501529640939844,0.66893125,0.17866124,0.0,339.511,7,0.11536401547491551
214269,2.5886447062513036,0,30.30716880079237,-97.5301730760619,0.01547682927851358,0.014269792702160548,0.4499152230564976,0.6688753,0.17912363,0.074,341.818,8,0.15902724898010492
178407,3.1051452523726897,0,30.4690185206036,-97.93870209924613,0.030512052967435057,0.007263938418049065,0.4497887348023568,0.6687845,0.1790686,0.0,343.583,9,0.11471493858844042
298895,2.976511702612369,0,30.14676492221181,-97.66915194424264,0.035339336723831355,0.0027635902165920687,0.449734673924619,0.6687744,0.17907576,0.006,353.1,10,0.11830351312309503
729965,0.13775684399413304,0,30.35710735425446,-97.52749845662122,0.01806268848814449,3.5978252101903115e-05,0.449723585365996,0.6689028,0.17929435,0.177,361.859,11,0.22055521896928548
459979,0.44808469378630206,0,30.3274375639463,-97.6597780691219,0.02127574846036094,0.0004452167100548531,0.4497024991133166,0.6688632,0.17926377,0.129,362.397,12,0.19180392807126045
568399,0.17641294205039104,0,30.351568032494487,-97.52855593269707,0.0200039035513336,0.0016771452084259632,0.44968268739448297,0.6688402,0.17927507,0.13,373.663,13,0.19238593957573175
972676,0.10561464291331303,0,30.3949983691361,-97.62423442396513,0.014608669378859577,0.005388513582862923,0.4497305933370659,0.66885924,0.17928344,0.166,375.592,14,0.21397259931117296
883599,8.457382422566356,0,30.35180497155326,-97.60560336409155,0.0548329359277006,0.007869814160619179,0.449981029403848,0.66877526,0.17871848,0.0,381.941,15,0.11527282036840916
958769,0.1219463744311958,0,30.353221889150188,-97.49198317035538,0.026029312227385342,0.0008638969903961253,0.4495863641730272,0.6687445,0.179254,0.067,401.631,16,0.15461950257867574
970909,0.11019012798146599,0,30.06738914608749,-97.71590462097187,0.019598213021177688,0.00665240108216898,0.4496399571822708,0.668747,0.17925361,0.06,403.006,17,0.1504201284274459
134928,0.3232110776377329,0,30.354113949243573,-97.97285067606838,0.026614360406605853,0.002874540578084845,0.44958213776910816,0.668712,0.17923185,0.038,406.163,18,0.13725480063557627
930669,0.2010705932034936,0,30.351115436027396,-98.02517272638123,0.015928440864934862,0.010271295721915857,0.4496786261602067,0.6687503,0.17924747,0.071,407.643,19,0.1570299091771245
784616,0.16103714459033758,0,30.15339479043754,-97.8495771858837,0.022239369330105747,0.005944472477285966,0.44960893290680604,0.6687179,0.17924294,0.032,409.445,20,0.1336371334463358
