parcel_id,parcel_area_sqm,parcel_area_sqkm,parcel_area_acres,intersects_waterbody,centroid_lat,centroid_lon,dist_to_fiber_m,dist_to_fiber_km,dist_to_waterbody_m,dist_to_waterbody_km,dist_to_flowline_m,dist_to_flowline_km,acreage_score,water_score,flowline_score,water_intersection_penalty,baseline_score_v2
354620,11529672.905604959,11.529672905604958,2849.0442215311537,0,30.584617803510824,-98.02822539790118,1134890.8106215734,1134.8908106215733,1708.7198869187878,1.7087198869187878,266.85332946038915,0.26685332946038914,0.6975363371589977,0.9081333506991566,0.9849902189422283,0.0,0.7340798897726303
936012,16529135.889906105,16.529135889906104,4084.4384293978615,1,30.26887126723831,-97.99303896390747,1161840.011790343,1161.8400117903432,1672.012666942598,1.6720126669425979,129.47757727326646,0.12947757727326648,1.0,0.9101068569070362,0.9927173906956274,1.0,0.6219396656764551
963956,6334675.018094308,6.334675018094308,1565.3322868167163,0,30.522514795153995,-97.9839813346169,1138112.2822505822,1138.1122822505822,1425.9139531911549,1.4259139531911549,103.53247713094966,0.10353247713094965,0.38324296316227313,0.9233379689240915,0.9941767621040964,0.0,0.5985872384158648
934035,5514901.542538705,5.514901542538706,1362.7618494228852,0,30.55129716746088,-98.02753900217667,1137880.683465387,1137.880683465387,1467.5497217778216,1.4675497217778215,7.079181404923588,0.007079181404923588,0.3336472988089133,0.9210994870170192,0.9996021095208748,0.0,0.5764114469972479
355294,5559141.566579934,5.559141566579934,1373.6937974397097,0,30.32767255197421,-98.09234499374894,1161821.1092066753,1161.8211092066754,1358.184663892614,1.358184663892614,421.3561167106118,0.4213561167106118,0.3363237862152011,0.9269793281164422,0.9762996781848233,0.0,0.5758844539594967
353730,5092004.143018912,5.092004143018912,1258.2616261930746,0,30.55699593333544,-97.97964886626666,1134732.4348664384,1134.7324348664383,1147.5851987363899,1.1475851987363899,72.73412260176384,0.07273412260176385,0.30806233161016694,0.9383018786155409,0.9959091215007163,0.0,0.5695049810343449
123209,4213742.933374419,4.2137429333744185,1041.2385549560581,0,30.3208224629147,-97.88795810024091,1151417.923189997,1151.417923189997,1041.5891128611715,1.0415891128611716,1.34879833120132,0.00134879833120132,0.25492820435802255,0.9440005922097976,0.9999244346293343,0.0,0.5479065348184495
353731,12789726.524147319,12.78972652414732,3160.4102516101457,1,30.546007220343075,-97.98762093227015,1136170.3358735961,1136.170335873596,1173.7437223990914,1.1737437223990914,255.33797246203915,0.25533797246203915,0.7737686113126699,0.9368955065483892,0.9856379398093487,1.0,0.5271102180266205
464293,3820804.001775442,3.8208040017754423,944.1412303699925,0,30.19414624277649,-97.67814736830111,1152112.8660178958,1152.1128660178958,1484.6636094305607,1.4846636094305607,432.93205926308246,0.4329320592630825,0.23115570141171454,0.9201793856433509,0.9756485494747976,0.0,0.5264211637494964
353217,3629910.4422975113,3.6299104422975113,896.9704045355734,0,30.5367740526247,-98.01012450293517,1138245.263306325,1138.2452633063251,1894.6984814455059,1.894698481445506,180.47369813973972,0.18047369813973974,0.21960678797966066,0.8981345027594523,0.9898489384511906,0.0,0.5167407461863616
893807,2988797.582317136,2.988797582317136,738.5479667066174,0,30.318957905641465,-98.06549464097073,1161158.2125312844,1161.1582125312843,825.5022581183607,0.8255022581183608,210.93661994476525,0.21093661994476526,0.1808199533670145,0.9556181636181671,0.9881354466220272,0.0,0.5162747450939107
153135,3827014.317858131,3.827014317858131,945.675832894637,0,30.39242323346704,-97.81324041724446,1140819.583243483,1140.819583243483,2209.299452559934,2.2092994525599337,373.43820343536504,0.37343820343536505,0.23153142075510577,0.8812204741323321,0.9789949860542788,0.0,0.515404529487639
564023,2696708.6661777864,2.6967086661777864,666.3712236616725,0,30.332899611078957,-98.05247019461584,1159174.0129282977,1159.1740129282978,711.5541305618502,0.7115541305618502,168.3966565337259,0.16839665653372587,0.1631487987393709,0.9617444062825501,0.9905282532012601,0.0,0.510519519297671
566701,2416577.854940142,2.416577854940142,597.1493926900879,0,30.51953216754232,-98.00538098209266,1139555.6126296783,1139.5556126296783,705.9434784592662,0.7059434784592662,348.05504737519766,0.34805504737519766,0.14620110025502991,0.9620460542079959,0.9804227489847637,0.0,0.5014677237248768
354621,3432578.377630847,3.432578377630847,848.208589420414,0,30.567589478638777,-98.02633830089988,1136333.6453456066,1136.3336453456066,2715.5975663443837,2.7155975663443837,169.0709018940289,0.1690709018940289,0.20766834993891978,0.8540001487783702,0.9904903279515705,0.0,0.4982243512987605
936010,2849650.7313992325,2.8496507313992323,704.1640310305941,0,30.267539009144407,-97.98415751231573,1161485.1310529145,1161.4851310529145,1822.6316709098114,1.8226316709098114,114.91683124478222,0.11491683124478222,0.17240167597730738,0.9020090619896672,0.9935364099448647,0.0,0.4972139342784182
953449,1902589.1294333506,1.9025891294333506,470.1400126039101,0,30.48545542639339,-97.9510238193192,1139698.7885059812,1139.6987885059812,324.5965566353018,0.3245965566353018,297.2632114975846,0.2972632114975846,0.11510517794018674,0.9825485743678865,0.983279710517263,0.0,0.49405385896103937
310698,1834436.7090031824,1.8344367090031823,453.2991827556027,0,30.241578866213896,-97.95116733642736,1162108.8869678113,1162.1088869678113,521.0291843010907,0.5210291843010907,105.23779585265999,0.10523779585265998,0.11098200895593427,0.9719876817048084,0.9940808405863092,0.0,0.4906503346295593
