date,btm_spread
2021-01-01,
2021-01-02,
2021-01-03,
2021-01-04,45.42875
2021-01-05,47.13791666666666
2021-01-06,46.90708333333333
2021-01-07,46.18958333333333
2021-01-08,47.181666666666665
2021-01-09,44.456250000000004
2021-01-10,47.096666666666664
2021-01-11,46.489583333333336
2021-01-12,38.51958333333334
2021-01-13,43.513749999999995
2021-01-14,44.605
2021-01-15,49.38708333333333
2021-01-16,47.2475
2021-01-17,43.095
2021-01-18,48.89166666666667
2021-01-19,47.80166666666667
2021-01-20,41.93333333333334
2021-01-21,44.638749999999995
2021-01-22,46.124583333333334
2021-01-23,42.91
2021-01-24,47.19958333333333
2021-01-25,50.08583333333333
2021-01-26,47.77583333333334
2021-01-27,44.09125
2021-01-28,39.477916666666665
2021-01-29,43.615833333333335
2021-01-30,41.70666666666667
2021-01-31,39.709583333333335
2021-02-01,45.98041666666666
2021-02-02,37.275
2021-02-03,39.04125
2021-02-04,43.74333333333333
2021-02-05,34.312083333333334
2021-02-06,38.05625
2021-02-07,33.75416666666667
2021-02-08,34.25416666666667
2021-02-09,32.96541666666666
2021-02-19,18.903750000000002
2021-02-20,23.58125
2021-02-21,23.493750000000002
2021-02-22,32.54458333333333
2021-02-23,40.347500000000004
2021-02-24,33.70541666666667
2021-02-25,39.53458333333333
2021-02-26,40.24958333333333
2021-02-27,39.494166666666665
2021-02-28,37.20166666666666
2021-03-01,40.208749999999995
2021-03-02,40.106249999999996
2021-03-03,36.44416666666667
2021-03-04,34.410833333333336
2021-03-05,42.8675
2021-03-06,32.79708333333333
2021-03-07,33.83416666666666
2021-03-08,36.362500000000004
2021-03-09,40.665416666666665
2021-03-10,47.66833333333333
2021-03-11,34.13958333333333
2021-03-12,40.989583333333336
2021-03-13,35.691250000000004
2021-03-14,39.83291666666667
2021-03-15,38.59583333333333
2021-03-16,35.59875
2021-03-17,38.33833333333333
2021-03-18,33.22083333333333
2021-03-19,36.749583333333334
2021-03-20,42.505833333333335
2021-03-21,34.200416666666676
2021-03-22,32.54041666666667
2021-03-23,30.122916666666665
2021-03-24,31.865416666666665
2021-03-25,37.40833333333333
2021-03-26,34.48458333333333
2021-03-27,33.11958333333333
2021-03-28,36.537083333333335
2021-03-29,35.10708333333333
2021-03-30,34.12916666666667
2021-03-31,33.82583333333333
2021-04-01,37.7925
2021-04-02,40.659166666666664
2021-04-03,35.110416666666666
2021-04-04,34.134166666666665
2021-04-05,32.54083333333333
2021-04-06,39.275
2021-04-07,35.83708333333333
2021-04-08,39.13708333333333
2021-04-09,40.3175
2021-04-10,33.53541666666667
2021-04-11,35.84125
2021-04-12,39.28541666666667
2021-04-13,29.006250000000005
2021-04-14,33.81458333333334
2021-04-15,36.229166666666664
2021-04-16,36.11333333333334
2021-04-17,34.72666666666667
2021-04-18,30.650833333333335
2021-04-19,34.643750000000004
2021-04-20,30.935833333333335
2021-04-21,35.22208333333333
2021-04-22,32.00833333333333
2021-04-23,30.19875
2021-04-24,34.321666666666665
2021-04-25,38.01
2021-04-26,31.60291666666667
2021-04-27,32.63999999999999
2021-04-28,30.080000000000002
2021-04-29,31.629166666666663
2021-04-30,31.141250000000003
2021-05-01,32.737500000000004
2021-05-02,37.49166666666667
2021-05-03,33.26208333333334
2021-05-04,32.878750000000004
2021-05-05,33.14125
2021-05-06,29.76625
2021-05-07,30.967916666666667
2021-05-08,35.74125
2021-05-09,31.155
2021-05-10,30.562916666666666
2021-05-11,30.09958333333333
2021-05-12,29.75583333333333
2021-05-13,32.0725
2021-05-14,30.492499999999996
2021-05-15,32.98
2021-05-16,39.08708333333333
2021-05-17,32.52
2021-05-18,34.61083333333333
2021-05-19,38.35208333333333
2021-05-20,40.10375
2021-05-21,36.96208333333333
2021-05-22,33.06
2021-05-23,37.37625
2021-05-24,33.615833333333335
2021-05-25,34.2425
2021-05-26,31.547083333333333
2021-05-27,30.675833333333333
2021-05-28,35.035833333333336
2021-05-29,32.157916666666665
2021-05-30,39.36083333333333
2021-05-31,32.669999999999995
2021-06-01,39.27458333333333
2021-06-02,30.16
2021-06-03,34.864583333333336
2021-06-04,35.854166666666664
2021-06-05,29.934166666666666
2021-06-06,36.204166666666666
2021-06-07,33.20333333333333
2021-06-08,33.52458333333333
2021-06-09,33.36375
2021-06-10,33.53041666666667
2021-06-11,32.982083333333335
2021-06-12,37.22625
2021-06-13,32.903333333333336
2021-06-14,35.69541666666667
2021-06-15,41.24458333333333
2021-06-16,34.28416666666667
2021-06-17,35.50875
2021-06-18,33.71125
2021-06-19,32.96208333333333
2021-06-20,35.998333333333335
2021-06-21,44.56833333333333
2021-06-22,36.022083333333335
2021-06-23,32.055416666666666
2021-06-24,30.53791666666667
2021-06-25,35.55458333333333
2021-06-26,35.712916666666665
2021-06-27,33.34291666666667
2021-06-28,31.621666666666666
2021-06-29,33.89875
2021-06-30,31.32708333333333
2021-07-01,34.95708333333334
2021-07-02,37.25791666666667
2021-07-03,33.477916666666665
2021-07-04,34.624583333333334
2021-07-05,34.62125
2021-07-06,30.184166666666666
2021-07-07,33.949999999999996
2021-07-08,34.574999999999996
2021-07-09,33.52625
2021-07-10,35.90833333333334
2021-07-11,41.78125
2021-07-12,31.427916666666665
2021-07-13,38.97708333333334
2021-07-14,35.763333333333335
2021-07-15,38.899166666666666
2021-07-16,37.67833333333333
2021-07-17,35.87583333333333
2021-07-18,41.81666666666666
2021-07-19,32.31666666666667
2021-07-20,37.19166666666667
2021-07-21,36.42416666666667
2021-07-22,33.10666666666667
2021-07-23,36.10666666666666
2021-07-24,34.134166666666665
2021-07-25,32.172083333333326
2021-07-26,37.128750000000004
2021-07-27,33.086666666666666
2021-07-28,39.07958333333334
2021-07-29,32.24916666666667
2021-07-30,35.56291666666667
2021-07-31,45.07875000000001
2021-08-01,42.61625
2021-08-02,34.90083333333333
2021-08-03,42.739583333333336
2021-08-04,47.26999999999999
2021-08-05,37.035000000000004
2021-08-06,33.314166666666665
2021-08-07,42.18625
2021-08-08,35.835
2021-08-09,40.10125
2021-08-10,34.51916666666667
2021-08-11,45.629999999999995
2021-08-12,38.692083333333336
2021-08-13,44.44958333333333
2021-08-14,39.09791666666666
2021-08-15,40.33833333333333
2021-08-16,40.55708333333333
2021-08-17,43.20416666666667
2021-08-18,41.05666666666667
2021-08-19,49.38208333333333
2021-08-20,45.830000000000005
2021-08-21,41.76625000000001
2021-08-22,43.58208333333334
2021-08-23,43.831666666666656
2021-08-24,37.464999999999996
2021-08-25,37.82833333333333
2021-08-26,40.025416666666665
2021-08-27,42.63958333333334
2021-08-28,33.97916666666667
2021-08-29,39.39541666666667
2021-08-30,40.67875
2021-08-31,39.4775
2021-09-01,38.38208333333333
2021-09-02,37.214166666666664
2021-09-03,38.95875
2021-09-04,35.67458333333333
2021-09-05,44.14041666666666
2021-09-06,35.52333333333333
2021-09-07,37.700833333333335
